bank_id,display_name,bank_type,year,total_assets_tk_mn,loans_tk_mn,deposits_tk_mn,equity_tk_mn,nii_tk_mn,non_interest_income_tk_mn,npat_tk_mn,npl_amount_tk_mn,eps_bdt,roa_pct,roe_pct,npl_pct,provision_coverage_pct,loan_deposit_pct,car_pct,cost_income_pct
city_bank_plc,City Bank PLC,CB,2025,843341.0,506201.0,631642.0,61102.0,2847.0,9443.0,13059.0,12669.0,8.6,1.7,24.4,2.5,127.0,71.3,15.7,43.7
dutch_bangla_bank_plc,Dutch-Bangla Bank PLC,CB,2015,244057.6,152270.0,186765.0,16754.3,9788.0,3761.4,3020.3,5634.0,15.1,1.3,19.3,3.6999999999999997,,81.5,13.700000000000001,58.8
dutch_bangla_bank_plc,Dutch-Bangla Bank PLC,CB,2016,264797.4,173397.8,207234.0,17672.7,9963.5,3895.8,1775.2,9016.7,8.9,0.7000000000000001,10.299999999999999,5.2,,79.4,13.100000000000001,65.3
dutch_bangla_bank_plc,Dutch-Bangla Bank PLC,CB,2017,311906.8,207257.4,233796.4,19482.2,,,2455.2,9741.1,12.3,0.8999999999999999,13.200000000000001,4.7,,75.6,13.0,69.3
dutch_bangla_bank_plc,Dutch-Bangla Bank PLC,CB,2018,346468.8,231553.9,262467.7,23086.0,,,4201.4,9493.7,21.0,1.3,19.7,4.1000000000000005,,77.2,15.6,61.6
dutch_bangla_bank_plc,Dutch-Bangla Bank PLC,CB,2019,390362.0,256239.7,302159.2,27443.3,17784.0,5749.7,4341.4,11274.5,8.7,1.2,17.2,4.3999999999999995,,73.9,15.5,58.199999999999996
dutch_bangla_bank_plc,Dutch-Bangla Bank PLC,CB,2020,472355.4,273382.9,362611.0,32256.7,14129.7,5340.8,5498.7,6014.4,10.0,1.3,18.4,2.1999999999999997,,64.3,17.2,60.5
dutch_bangla_bank_plc,Dutch-Bangla Bank PLC,CB,2021,514399.8,319448.1,401500.3,36966.4,,,5561.1,11819.6,8.8,1.0999999999999999,16.1,3.6999999999999997,,71.8,16.400000000000002,58.8
dutch_bangla_bank_plc,Dutch-Bangla Bank PLC,CB,2022,555473.6,364000.8,438131.3,41638.8,,,5661.7,15652.0,8.14,1.0999999999999999,14.399999999999999,4.3,,76.5,15.6,61.3
dutch_bangla_bank_plc,Dutch-Bangla Bank PLC,CB,2023,593883.1,412073.0,472590.1,48172.8,,,8017.4,16895.0,10.72,1.4000000000000001,17.9,4.1000000000000005,,82.6,16.2,59.5
dutch_bangla_bank_plc,Dutch-Bangla Bank PLC,CB,2024,679875.5,428689.4,521872.5,51608.2,29256.2,7258.4,4734.8,33009.1,5.39,0.7000000000000001,9.5,7.7,75.9,77.9,13.8,52.400000000000006
dutch_bangla_bank_plc,Dutch-Bangla Bank PLC,CB,2025,817797.6,450503.8,622057.8,60070.5,19871.9,10078.5,9647.7,28832.2,9.98,1.3,17.299999999999997,6.4,118.19999999999999,68.0,17.1,49.7
eastern_bank_plc,Eastern Bank PLC,CB,2015,189563.0,130226.0,127990.0,20496.0,3545.0,6542.0,2221.0,4258.4,3.63,1.23,10.95,3.27,116.85,87.87,13.92,48.33
eastern_bank_plc,Eastern Bank PLC,CB,2016,,,,,,,,,,,,,,,,
eastern_bank_plc,Eastern Bank PLC,CB,2017,253068.0,184027.0,167348.0,21586.0,5745.0,6656.0,2405.0,4600.7,3.26,1.04,11.41,2.5,159.52,83.06,14.09,45.2
eastern_bank_plc,Eastern Bank PLC,CB,2018,282451.0,209306.0,199629.0,22966.0,7506.0,5633.0,3081.0,4918.7,4.17,1.15,13.83,2.35,150.39,83.08,12.16,45.63
eastern_bank_plc,Eastern Bank PLC,CB,2019,335163.0,232051.0,240164.0,25567.0,8159.0,6439.0,4008.0,7773.7,4.94,1.3,16.52,3.35,120.42,77.2,14.74,43.76
eastern_bank_plc,Eastern Bank PLC,CB,2020,336936.0,228944.0,242358.0,28976.0,5930.0,8204.0,4103.0,6227.3,5.05,1.22,15.04,2.72,179.51,74.13,15.03,45.8
eastern_bank_plc,Eastern Bank PLC,CB,2021,388815.0,269394.0,268019.0,31017.0,7761.0,9397.0,4654.0,9967.6,4.88,1.28,15.51,3.7,141.31,79.69,13.87,39.1
eastern_bank_plc,Eastern Bank PLC,CB,2022,455989.0,308916.0,317097.0,35045.0,6699.0,11090.0,5107.0,8587.9,4.76,1.21,15.46,2.78,168.46,77.83,14.61,43.53
eastern_bank_plc,Eastern Bank PLC,CB,2023,506271.0,353357.0,366104.0,37484.0,8148.0,12380.0,6109.0,10954.1,5.06,1.27,16.85,3.1,147.61,79.45,15.07,44.22
eastern_bank_plc,Eastern Bank PLC,CB,2024,616050.0,410718.0,457692.0,43064.0,10585.0,16042.0,7504.0,13718.0,5.53,1.34,18.63,3.34,114.49,80.19,14.65,40.95
eastern_bank_plc,Eastern Bank PLC,CB,2025,761604.0,477040.0,556454.0,50850.0,9833.0,21144.0,9010.0,10685.7,5.65,1.31,19.13,2.24,161.04,74.65,14.88,41.69
ific_bank_plc,IFIC Bank PLC,CB,2015,180737.39,125668.04,146848.21,12370.38,3774.51,4305.47,1057.14,8118.155384,1.87,0.53,7.61,6.46,33.92,83.96,10.24,55.3
ific_bank_plc,IFIC Bank PLC,CB,2016,200251.06,141258.76,160132.62,13922.4,4405.43,4247.43,1582.53,7472.588404,2.81,0.65,9.46,5.29,32.48,85.62,11.73,60.02
ific_bank_plc,IFIC Bank PLC,CB,2017,253249.0,179264.0,200206.0,20539.0,5492.0,4270.0,2068.0,11472.896,1.54,0.9,12.4,6.4,51.5,85.04,13.06,
ific_bank_plc,IFIC Bank PLC,CB,2018,283073.0,206930.0,226364.0,22116.0,4560.0,4441.0,1570.0,12746.888,1.07,0.6,7.4,6.16,46.7,86.83,12.99,
ific_bank_plc,IFIC Bank PLC,CB,2019,316950.0,228589.0,258368.0,24597.0,6398.0,4722.0,2444.0,12275.2293,1.51,0.8,10.5,5.37,49.2,84.08,13.42,54.9
ific_bank_plc,IFIC Bank PLC,CB,2020,363412.0,260650.0,296374.0,25217.0,2864.0,5560.0,562.0,10347.805,0.35,0.2,2.3,3.97,75.8,82.4,12.96,65.4
ific_bank_plc,IFIC Bank PLC,CB,2021,410402.92,306333.35,332751.26,30236.31,7165.0,7188.0,2541.0,18655.70102,1.42,0.61,8.4,6.09,54.47,92.06,13.89,47.05
ific_bank_plc,IFIC Bank PLC,CB,2022,470548.02,355858.87,375552.71,33609.0,8099.0,7458.0,3442.0,19963.68261,1.93,0.78,10.24,5.61,66.11,94.76,13.62,54.17
ific_bank_plc,IFIC Bank PLC,CB,2023,529936.5,414982.8,442071.4,36125.3,8377.0,7282.6,3005.2,33157.12572,1.56,0.57,8.32,7.99,44.0,93.9,12.74,65.3
ific_bank_plc,IFIC Bank PLC,CB,2024,565693.6,447266.1,474592.0,31045.4,2733.6,8823.6,-1024.7,245862.1752,-0.53,-0.19,-3.25,54.97,5.46,91.34,7.96,98.73
ific_bank_plc,IFIC Bank PLC,CB,2025,586402.1,443295.0,517162.0,5658.3,-22094.7,10182.5,-25616.9,272493.4365,-13.33,-4.45,-139.59,61.47,2.91,84.19,2.45,-101.27
mercantile_bank_plc,Mercantile Bank PLC,CB,2015,182800.17,126338.83,154869.52,15513.73,2304.15,5639.87,1393.29,6250.77,1.88,0.79,9.6,4.95,100.07,81.58,11.87,50.46000000000001
mercantile_bank_plc,Mercantile Bank PLC,CB,2016,204127.47,150912.52,165257.45,16809.61,3157.72,6931.26,2227.36,7745.88,3.01,1.15,13.780000000000001,5.13,90.81,91.32000000000001,13.03,56.03
mercantile_bank_plc,Mercantile Bank PLC,CB,2017,260169.93,199660.72,220516.63,17584.02,6203.98,5650.33,3017.73,7564.72,3.7,1.3,17.549999999999997,3.7900000000000005,52.44,84.25,11.93,44.57
mercantile_bank_plc,Mercantile Bank PLC,CB,2018,291385.64,224230.61,243643.42,18683.55,7482.8,4357.71,3000.95,10802.43,3.68,1.09,16.55,4.82,44.1,86.3,13.28,46.410000000000004
mercantile_bank_plc,Mercantile Bank PLC,CB,2019,316363.47,236890.45,262961.05,20908.29,8600.64,4575.36,2175.49,11502.61,2.32,0.7799999999999999,10.99,4.859999999999999,39.300000000000004,84.1,13.919999999999998,44.17
mercantile_bank_plc,Mercantile Bank PLC,CB,2020,330785.56,248994.39,252817.4,22101.78,6616.23,3927.34,2161.32,11751.16,2.2,0.73,10.05,4.72,41.55,84.3,13.61,62.56
mercantile_bank_plc,Mercantile Bank PLC,CB,2021,359411.36,266766.89,274905.61,24403.9,8895.23,4482.98,3418.62,12112.51,3.31,0.9900000000000001,14.7,4.54,42.36,85.98,14.09,54.31
mercantile_bank_plc,Mercantile Bank PLC,CB,2022,382328.47,280890.53,294060.0,25275.15,8628.54,6729.1,2202.58,19928.63,1.99,0.59,8.870000000000001,7.090000000000001,40.46,86.82,14.35,53.52
